Lectin Name,Short Names,UniProt ID,PDB IDs,LfDB IDs,Monosaccharide Specificities,Species,Taxonomy ID,MCAW IDs
Calreticulin,,Q9XF98,,,,Prunus armeniaca,36596,
Calreticulin,,Q4CPZ0,"[""5HCF""]",,,Trypanosoma cruzi (strain CL Brener),353153,
Calreticulin,,P18418,"[""1HHN"",""1K91"",""1K9C""]",,,Rattus norvegicus,10116,
Calreticulin,,Q9SP22,,,,Zea mays,4577,
Calreticulin,,P52193,,,,Bos taurus,9913,
Calreticulin,,Q61KR9,,,,Caenorhabditis briggsae,6238,
Calreticulin,,O81919,,,,Beta vulgaris,161934,
Calreticulin,,Q23858,,,,Dictyostelium discoideum,44689,
Calreticulin (Fragment),,P83003,,,,Entamoeba histolytica,5759,
Calreticulin (Fragment),,P30806,,,,Spinacia oleracea,3562,
Calreticulin (Fragment),,F2VN92,"[""5HCA"",""5HCB""]",,,Entamoeba histolytica HM-1:IMSS,294381,
Calreticulin (Fragment),,P31832,,,,Pelophylax lessonae,45623,
Calreticulin (Fragment),,P28490,,,,Canis lupus familiaris,9615,
Calreticulin-1,,O04151,,,,Arabidopsis thaliana,3702,
Calreticulin-2,,Q38858,,,,Arabidopsis thaliana,3702,
Calreticulin-3,,Q96L12,,,,Homo sapiens,9606,
Calreticulin-3,,Q2TBR8,,,,Bos taurus,9913,
Calreticulin-3,,O04153,,,,Arabidopsis thaliana,3702,
Capsid,,Q5EGK8,"[""3SEJ"",""3SJP"",""3SKB"",""3SLD"",""3SLN""]",,,Norovirus Hu/GII.4/2004/NL,311380,
Capsid,,Q913Z3,"[""2OBR"",""2OBS"",""2OBT""]",,,Human calicivirus NLV/VA98387/1998,165511,
Capsid,,E6Y5B1,"[""5E6T""]",,,Norovirus Bo/GIII/B309/2003/BEL,571217,
Capsid,,Q8BCA3,"[""4RDJ"",""4RDK"",""4RDL""]",,,Human calicivirus NLV/Boxer/2001/US,207658,
Capsid,,Q91H09,"[""3PUM"",""3PUN"",""3PVD""]",,,Human calicivirus NLV/VA97207/1997,165510,
Capsid protein,,Q8JW44,"[""3ASP"",""3ASQ"",""3ASR"",""3ASS"",""3AST""]",,,Norwalk-like virus,95340,
Capsid protein,,Q5F4T5,"[""3ONU"",""3ONY"",""3PA1"",""3PA2"",""3Q38"",""3Q39"",""3Q3A"",""3Q6Q"",""3Q6R"",""3RY8"",""3V7A"",""4X7E"",""4X7F"",""4Z4R"",""4Z4S"",""4Z4T"",""4Z4U"",""4Z4V"",""4Z4W"",""4Z4Y"",""4Z4Z"",""5BSX"",""5BSY"",""5HZA"",""5HZB"",""5O03"",""5O04"",""5O05"",""5OMM"",""5OMN"",""6GW1"",""6GW2"",""6GY9""]",,,Norwalk virus,11983,
Capsid protein,,Q6B7R3,"[""4RLZ"",""4RM0""]",,,Norovirus NLV/IF1998/2003/Iraq,286545,
Capsid protein,,Q9WBP8,"[""3NG9"",""5EGC"",""6JCQ"",""6JCR"",""7RK9""]",,,Adeno-associated virus - 1,85106,
Capsid protein,,Q20K66,"[""4RPD""]",,,Norwalk virus,11983,
Capsid protein,,A0A0A7CJV4,"[""5F4M"",""5O02""]",,,Norovirus 13-BH-1/2013/GII.17,1508693,
Capsid protein VP1,,Q83884,"[""1IHM"",""2ZL5"",""2ZL6"",""2ZL7"",""3BY1"",""3BY2"",""3D26"",""5KW9"",""5N7M"",""6CRJ"",""6H6Y"",""6H6Z"",""6H70"",""6H71"",""6H72"",""6OUT"",""7KJP""]",,,Norwalk virus (strain GI/Human/United States/Norwalk/1968),524364,"[""1542""]"
Capsid protein VP1,,A0A0E4B1P1,"[""5F4O"",""5LKC"",""5LKG"",""5LKK""]",,,Norovirus Hu/GII/JP/2015/GII.P17_GII.17/Kawasaki308,1634342,
Capsid protein VP1,,P49302,"[""1CN3"",""1SID"",""1SIE"",""1VPN"",""1VPS"",""5CPU"",""5CPW"",""5CPX"",""5CPY"",""5CPZ"",""5CQ0"",""7K25""]",,,Murine polyomavirus (strain P16 small-plaque),47935,
Capsid protein VP1,,J9XXB7,"[""4ROX"",""6GVZ"",""6GW0""]",,,Norovirus Hu/GII.1/7EK/Hawaii/1971/USA,1208060,
Capsid protein VP1,,K7X601,"[""4RPB""]",,,Norovirus Hu/GII.2/KL109/1978/MYS,1260940,
Carbohydrate binding family 6,,A3DHG6,"[""2Y8K"",""3MPC"",""5G56"",""5LA0"",""5LA1"",""5LA2""]",,,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),203119,
Cartilage intermediate layer protein 2,,D3Z7H8,,,,Mus musculus,10090,
Cation-dependent mannose-6-phosphate receptor,,P11456,"[""1C39"",""1KEO"",""1M6P"",""2RL7"",""2RL8"",""2RL9"",""2RLB"",""3CY4"",""3K41"",""3K42"",""3K43""]",,,Bos taurus,9913,
Cation-independent mannose-6-phosphate receptor,,P08169,"[""1Q25"",""1SYO"",""1SZ0"",""2KVA"",""2KVB"",""6UM1"",""6UM2""]",,,Bos taurus,9913,
Cation-independent mannose-6-phosphate receptor,,P11717,"[""1E6F"",""1GP0"",""1GP3"",""1GQB"",""1JPL"",""1JWG"",""1LF8"",""2CNJ"",""2L29"",""2L2A"",""2M68"",""2M6T"",""2V5N"",""2V5O"",""2V5P"",""5IEI"",""6N5X"",""6N5Y"",""6P8I"",""6V02"",""6Z30"",""6Z31"",""6Z32""]",,,Homo sapiens,9606,
Cell surface glycoprotein 1,,Q06852,,,,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),203119,
Cell surface glycoprotein 2,,Q06853,"[""5G5D"",""5K39""]",,,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),203119,
Cell wall acid trehalase ARB_03719,,D4B5H9,,,,Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371),663331,
Cell wall acid trehalase ATC1,,Q5AAU5,,,,Candida albicans (strain SC5314 / ATCC MYA-2876),237561,
Cellobionic acid phosphorylase,,Q7S0S2,,,,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),367110,
Cellobionic acid phosphorylase,,Q8P3J4,,,,Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25),190485,
Cellobiose phosphorylase,,B9K7M6,,,,Thermotoga neapolitana (strain ATCC 49049 / DSM 4359 / NBRC 107923 / NS-E),309803,
Cellulosome-anchoring protein,,Q06848,"[""3UL4""]",,,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),203119,
Central glycolytic genes regulator,,O32253,"[""2OKG"",""3BXE"",""3BXF"",""3BXG"",""3BXH"",""7OYK""]",,,Bacillus subtilis (strain 168),224308,
Central glycolytic genes regulator,,P35168,,,,Priestia megaterium (strain DSM 319 / IMG 1521),592022,
Chaperone protein FimC,,P31697,"[""1BF8"",""1KIU"",""1KLF"",""1QUN"",""1ZE3"",""3BWU"",""3JWN"",""3RFZ"",""3SQB"",""4DWH"",""4J3O"",""6E14"",""6E15"",""6SWH"",""7B0W"",""7B0X"",""7SZO""]",,,Escherichia coli (strain K12),83333,
Chitin disaccharide deacetylase,,Q99PX1,,,,Vibrio alginolyticus,663,
Chitin-binding lectin,,P81859,,,,Viscum album,3972,
Chitin-binding lectin 1,,Q9S8M0,,,,Solanum tuberosum,4113,
Chitinase A,,P32823,,,,Pseudoalteromonas piscicida,43662,
Chitinase A1,,P20533,"[""1ED7"",""1ITX"",""1K85""]",,,Niallia circulans,1397,
Chitinase B,,P11797,"[""1E6N"",""1GOI"",""1H0G"",""1H0I"",""1O6I"",""1OGB"",""1OGG"",""3WD0"",""3WD1"",""3WD2"",""3WD3"",""3WD4"",""4Z2G"",""4Z2H"",""4Z2I"",""4Z2J"",""4Z2K"",""4Z2L"",""6JK9"",""6JKF"",""7C34"",""7C92"",""7CB1""]",,,Serratia marcescens,615,
Chitinase ChiA,,A5FB63,,,,Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / JCM 8514 / NBRC 14942 / NCIMB 11054 / UW101),376686,
Chitinase D,,P27050,,,,Niallia circulans,1397,
Chitinase domain-containing protein 1,,Q9BWS9,"[""3BXW""]",,,Homo sapiens,9606,
Chitinase-3-like protein 1,,Q6TMG6,"[""1SR0"",""1ZBK"",""1ZL1"",""2DPE"",""2DSU"",""2DSV"",""2DSW"",""2FDM"",""2G41"",""2G8Z"",""2PI6"",""5Z4V""]",,,Ovis aries,9940,
Chitinase-3-like protein 1,,Q5RBP6,,,,Pongo abelii,9601,
Chitinase-3-like protein 1,,Q8SPQ0,"[""1LJY"",""1SYT"",""1ZBV"",""1ZBW"",""1ZU8"",""2AOS"",""2B31"",""2DSZ"",""2DT0"",""2DT1"",""2DT2"",""2DT3"",""2O92"",""2OLH""]",,,Capra hircus,9925,
Chitinase-3-like protein 1,,P36222,"[""1HJV"",""1HJW"",""1HJX"",""1NWR"",""1NWS"",""1NWT"",""1NWU""]",,,Homo sapiens,9606,
Chitinase-3-like protein 1,,Q7YS85,"[""1TFV"",""2O9O"",""2QF8"",""4MAV"",""4ML4"",""4MPK"",""4MTV"",""4NSB"",""4Q7N"",""5Z05"",""5Z3S"",""5Z4W""]",,,Bubalus bubalis,89462,
Chitinase-3-like protein 1,,P30922,"[""1OWQ"",""2ESC""]",,,Bos taurus,9913,
Chitinase-3-like protein 1,,Q9WTV1,,,,Rattus norvegicus,10116,
Chitinase-3-like protein 1,,Q29411,"[""1XHG"",""1XRV"",""1ZB5"",""1ZBC""]",,,Sus scrofa,9823,
Chitinase-3-like protein 2,,Q15782,"[""4AY1"",""4P8U"",""4P8V"",""4P8W"",""4P8X""]",,,Homo sapiens,9606,
Chitinase-like protein 3,,O35744,"[""1E9L"",""1VF8""]",,,Mus musculus,10090,
Chitinase-related agglutinin (Fragment),,A1YZD2,"[""4URI""]",,,Robinia pseudoacacia,35938,
Chitodextrinase,,P96156,,,,Vibrio furnissii,29494,
Cholera enterotoxin subunit B,,P01556,"[""1CHP"",""1CHQ"",""1CT1"",""1FGB"",""1G8Z"",""1JR0"",""1MD2"",""1RCV"",""1RD9"",""1RDP"",""1RF2"",""1S5B"",""1S5C"",""1S5D"",""1S5E"",""1S5F"",""1XTC"",""2CHB"",""3CHB"",""3EFX"",""5ELC"",""5ELE"",""5ELF"",""5LZG"",""5LZJ"",""6HJD"",""6HMW"",""6HMY"",""6HSV""]",,,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),243277,
Chondroitin sulfate ABC endolyase,,P59807,"[""1HN0"",""7EIP"",""7EIQ"",""7EIR"",""7EIS""]",,,Proteus vulgaris,585,
Chondroitin sulfate ABC exolyase,,C5G6D7,"[""2Q1F""]",,,Bacteroides thetaiotaomicron,818,
Chondroitin sulfate ABC exolyase,,Q8A2I1,,,,Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50),226186,
Chondroitin sulfate ABC exolyase (Fragment),,C7S340,,,,Proteus vulgaris,585,
Chondroitinase-AC,,Q59288,"[""1CB8"",""1HM2"",""1HM3"",""1HMU"",""1HMW""]",,,Pedobacter heparinus (strain ATCC 13125 / DSM 2366 / CIP 104194 / JCM 7457 / NBRC 12017 / NCIMB 9290 / NRRL B-14731 / HIM 762-3),485917,
Chondrolectin,,Q568T5,,,,Danio rerio,7955,
Chondrolectin,,Q9CXM0,,,,Mus musculus,10090,
Chondrolectin,,Q9H9P2,,,,Homo sapiens,9606,
Clotting factor C,,P28175,,,,Tachypleus tridentatus,6853,
Clotting factor G alpha subunit,,Q27082,,,,Tachypleus tridentatus,6853,
Codakine,,Q3KVL7,"[""2VUV"",""2VUZ""]",,,Codakia orbicularis,13016,
Collectin-11,,Q9BWP8,"[""4YLI"",""4YMD""]",,,Homo sapiens,9606,
Collectin-12,,Q2LK54,,,,Gallus gallus,9031,
Collectin-12,,Q8K4Q8,"[""2OX9""]",,,Mus musculus,10090,
Collectin-12,,Q4V885,,,,Rattus norvegicus,10116,
Collectin-12,,Q5KU26,"[""2OX8""]",,,Homo sapiens,9606,
Collectin-12,,A5PMY6,,,,Danio rerio,7955,
Collectin-12,,A6QP79,,,,Bos taurus,9913,
Complement C4-B,,P0C0L5,"[""4XAM"",""6YSQ""]",,,Homo sapiens,9606,
Complement C4-B,,P01029,,,,Mus musculus,10090,
Complement component C1q receptor,,Q9NPY3,,,,Homo sapiens,9606,
Complement component C1q receptor,,O89103,,,,Mus musculus,10090,
Complement component C1q receptor,,Q9ET61,,,,Rattus norvegicus,10116,
Concanavalin V,,C0HJY1,"[""5F5Q"",""6GW9""]",,,Canavalia cathartica,28958,
Concanavalin-A,,P14894,"[""1WUV"",""2D7F"",""2EF6"",""2OVU"",""2P2K""]",,,Canavalia gladiata,3824,
Concanavalin-A,,P81461,"[""2A7A"",""2G4I"",""3QLQ"",""4CZS""]",,,Canavalia cathartica,28958,
Concanavalin-A,,P02866,"[""1APN"",""1BXH"",""1C57"",""1CES"",""1CJP"",""1CN1"",""1CON"",""1CVN"",""1DQ0"",""1DQ1"",""1DQ2"",""1DQ4"",""1DQ5"",""1DQ6"",""1ENQ"",""1ENR"",""1ENS"",""1GIC"",""1GKB"",""1HQW"",""1I3H"",""1JBC"",""1JN2"",""1JOJ"",""1JUI"",""1JW6"",""1JYC"",""1JYI"",""1NLS"",""1NXD"",""1ONA"",""1QGL"",""1QNY"",""1SCR"",""1SCS"",""1TEI"",""1VAL"",""1VAM"",""1XQN"",""2CNA"",""2CTV"",""2ENR"",""2UU8"",""2YZ4"",""3CNA"",""3D4K"",""3ENR"",""3NWK"",""4P9W"",""4P9X"",""4P9Y"",""4PF5"",""5CNA"",""5O6N"",""5WEY"",""5Z5L"",""5Z5N"",""5Z5P"",""5Z5Y"",""5ZAC"",""6AHG"",""6H2M"",""6XT6"",""7MG1"",""7MG2"",""7MG3"",""7MG4"",""7MG5"",""7MG6"",""7MG7"",""7MG8"",""7MG9"",""7MGA"",""7MGB"",""7MGC"",""7MGD""]",,,Canavalia ensiformis,3823,"[""5342""]"
Concanavalin-A,,P81460,"[""2CWM"",""2CY6"",""2CYF"",""3SNM"",""4DPN"",""4I30"",""4TYS"",""4TZD"",""5BYN""]",,,Canavalia lineata,28957,
Concanavalin-Br,,P55915,"[""1AZD"",""1QDC"",""1QDO"",""2CYF"",""3JU9"",""4H55"",""4P14"",""4PCR"",""5YGM"",""6VB8""]",,,Canavalia brasiliensis,61861,
Concanavalin-Ma,,P81364,"[""2CWM"",""2OW4"",""2P34"",""2P37""]",,,Canavalia rosea,3825,
Congerin-1,,P26788,"[""1C1F"",""1C1L""]",,,Conger myriaster,7943,
Congerin-2,,Q9YIC2,"[""1IS3"",""1IS4"",""1IS5"",""1IS6"",""1WLC"",""1WLD"",""1WLW""]",,,Conger myriaster,7943,
Contactin-1,,P12960,,,,Mus musculus,10090,
Contactin-1,,Q63198,,,,Rattus norvegicus,10116,
Contactin-1,,Q12860,"[""2EE2"",""3S97""]",,,Homo sapiens,9606,
Contactin-2,,Q02246,"[""2OM5""]",,,Homo sapiens,9606,
Contactin-2,,Q61330,"[""5E7L""]",,,Mus musculus,10090,
Contactin-2,,P22063,,,,Rattus norvegicus,10116,
Coxsackievirus and adenovirus receptor,,P78310,"[""1EAJ"",""1F5W"",""1JEW"",""1KAC"",""1P69"",""1P6A"",""1RSF"",""2J12"",""2J1K"",""2NPL"",""2W9L"",""2WBW"",""3J6L"",""3J6M"",""3J6N"",""3J6O"",""7DPZ"",""7DQ1"",""7VXZ"",""7VYK"",""7VYL"",""7VYM"",""7W14""]",,,Homo sapiens,9606,
Curculin-1,,P19667,"[""2D04"",""2DPF""]",,,Molineria latifolia,4676,
Curculin-2,,Q6F495,"[""2D04""]",,,Molineria latifolia,4676,
Cyanovirin-N,,P81180,"[""1IIY"",""1J4V"",""1L5B"",""1L5E"",""1LOM"",""1N02"",""2EZM"",""2EZN"",""2PYS"",""2RDK"",""2RP3"",""2Z21"",""3CZZ"",""3EZM"",""3GXY"",""3GXZ"",""3LHC"",""3S3Y"",""3S3Z"",""4J4C"",""4J4D"",""4J4E"",""4J4F"",""4J4G"",""6X7H""]",,,Nostoc ellipsosporum,45916,"[""2720"",""2721"",""2722"",""2725"",""2726""]"
Cyanovirin-N domain protein,,B7KDN5,"[""5K79""]",,,Gloeothece citriformis (strain PCC 7424),65393,
Cyanovirin-N homolog,,Q5MK11,"[""2JZK"",""2KJL"",""3HNU"",""3HNX"",""3HP8""]",,,Tuber borchii,42251,
Cyanovirin-N homolog,,P86326,"[""2JZJ""]",,,Ceratopteris richardii,49495,
Cyanovirin-N homolog,,Q7S6U4,"[""2JZL"",""2KJL"",""3HNU"",""3HNX"",""3HP8""]",,,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),367110,
"Cyclic beta-(1,2)-glucan synthase NdvB",,P20471,,,,Rhizobium meliloti (strain 1021),266834,
Cycloisomaltooligosaccharide glucanotransferase,,P70873,,,,Niallia circulans,1397,
Cycloisomaltooligosaccharide glucanotransferase,,P94286,"[""3WNK"",""3WNL"",""3WNM"",""3WNN"",""3WNO"",""3WNP""]",,,Niallia circulans,1397,
Cymbosema roseum mannose-specific lectin,,D5MNX4,"[""3A0K""]",,,Cymbosema roseum,202239,
Cytolethal distending toxin subunit A,,Q9RFY6,,,,Helicobacter hepaticus (strain ATCC 51449 / 3B1),235279,
Cytolethal distending toxin subunit A,,O06522,"[""1SR4""]",,,Haemophilus ducreyi (strain 35000HP / ATCC 700724),233412,
Cytolethal distending toxin subunit A,,A1VXG4,,,,Campylobacter jejuni subsp. jejuni serotype O:23/36 (strain 81-176),354242,
Cytolethal distending toxin subunit A,,Q0PC56,,,,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),192222,
Cytolethal distending toxin subunit A,,Q46668,,,,Escherichia coli,562,
Cytolethal distending toxin subunit A,,O87120,"[""2F2F""]",,,Aggregatibacter actinomycetemcomitans,714,
Cytolethal distending toxin subunit C,,Q46670,,,,Escherichia coli,562,
Cytolysin,,P19247,"[""4OWJ"",""4OWK"",""4OWL""]",,,Vibrio vulnificus (strain CMCP6),216895,
D-erythrulose kinase,,A0QXE4,,,,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155),246196,
D-galactose-binding periplasmic protein,,P23925,,,,Citrobacter freundii,546,
D-galactose-binding periplasmic protein,,P0AEE6,,,,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),199310,
D-galactose-binding periplasmic protein,,P44883,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),71421,
D-galactose-binding periplasmic protein,,P0AEE5,"[""1GLG"",""2FVY"",""2FW0"",""2GBP"",""2HPH"",""2IPL"",""2IPM"",""2IPN"",""2QW1""]",,,Escherichia coli (strain K12),83333,
D-galactose-binding periplasmic protein,,P0AEE7,,,,Shigella flexneri,623,
D-galactose-binding periplasmic protein,,P23905,"[""1GCA"",""1GCG"",""3GA5"",""3GBP""]",,,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),99287,
D-galactoside-specific lectin,,P22031,,,,Heliocidaris crassispina,1043166,
D-threitol dehydrogenase,,A0QYC2,,,,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155),246196,
D-threitol-binding protein,,A0QYB5,"[""4RSM""]",,,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155),246196,
D-xylose-binding periplasmic protein,,P37387,"[""3M9W"",""3M9X"",""3MA0""]",,,Escherichia coli (strain K12),83333,
D-xylose-binding periplasmic protein,,P45047,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),71421,
Deoxyribonucleoside regulator,,P39140,"[""4OQP"",""4OQQ"",""7BHY""]",,,Bacillus subtilis (strain 168),224308,
Dimeric mannose specific lectin protein,"[""NPA""]",Q40423,"[""1NPL"",""3DZW""]","[""LfDB0208""]","[""Man""]",Narcissus hybrid cultivar 2,89148,
Discoidin-1 subunit A,,P02886,"[""2W94"",""2W95"",""2WN2"",""2WN3""]",,,Dictyostelium discoideum,44689,
Discoidin-1 subunit B/C,,P02887,,,,Dictyostelium discoideum,44689,
Discoidin-1 subunit D,,P02888,,,,Dictyostelium discoideum,44689,
Discoidin-2,,P42530,"[""2VM9"",""2VMC"",""2VMD"",""2VME""]",,,Dictyostelium discoideum,44689,
Doublecortin domain-containing protein 1,,M0R2J8,,,,Homo sapiens,9606,
Dromaiocalcin-1,,P84615,,,,Dromaius novaehollandiae,8790,
Dromaiocalcin-2,,P84616,,,,Dromaius novaehollandiae,8790,
E-selectin,,P16581,"[""1ESL"",""1G1T"",""4C16"",""4CSY"",""6EYI"",""6EYJ"",""6EYK""]",,,Homo sapiens,9606,
E-selectin,,P98110,,,,Sus scrofa,9823,
E-selectin,,P27113,,,,Oryctolagus cuniculus,9986,
E3 ubiquitin-protein ligase UPL5,,Q9SU29,,,,Arabidopsis thaliana,3702,
EP1-like glycoprotein 1,,Q9ZVA1,,,,Arabidopsis thaliana,3702,
EP1-like glycoprotein 2,,Q9ZVA2,,,,Arabidopsis thaliana,3702,
EP1-like glycoprotein 3,,Q9ZVA4,,,,Arabidopsis thaliana,3702,
EP1-like glycoprotein 4,,Q9ZVA5,,,,Arabidopsis thaliana,3702,
ER degradation-enhancing alpha-mannosidase-like protein 1,,O94726,,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843),284812,
ER degradation-enhancing alpha-mannosidase-like protein 1,,P38888,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),559292,
ER membrane protein complex subunit 7,,Q9NPA0,"[""1B0G"",""1LP9"",""2J8U"",""2JCC"",""2UWE"",""6WW7"",""6Z3W"",""7ADO""]",,,Homo sapiens,9606,
ER membrane protein complex subunit 7,,Q5TYV0,,,,Danio rerio,7955,
ER membrane protein complex subunit 7,,Q4R5V2,,,,Macaca fascicularis,9541,
ER membrane protein complex subunit 7,,Q9EP72,,,,Mus musculus,10090,
ER membrane protein complex subunit 7,,A5PJA8,,,,Bos taurus,9913,
ER membrane protein complex subunit 7 homolog,,Q8VY97,,,,Arabidopsis thaliana,3702,
Early activation antigen CD69,,P37217,,,,Mus musculus,10090,
Early activation antigen CD69,,Q07108,"[""1E87"",""1E8I"",""1FM5"",""3CCK"",""3HUP""]",,,Homo sapiens,9606,
Echinoidin,,P06027,,,,Heliocidaris crassispina,1043166,
"Endo-1,4-beta-xylanase A",,Q8GJ44,"[""1NAE"",""1O8P"",""1O8S"",""1OD3"",""1UY1"",""1UY2"",""1UY3"",""1UY4""]",,,Thermoclostridium stercorarium,1510,
"Endo-1,4-beta-xylanase A",,P33558,,,,Thermoclostridium stercorarium,1510,
"Endo-1,4-beta-xylanase A",,P26514,"[""1E0V"",""1E0W"",""1E0X"",""1KNL"",""1KNM"",""1MC9"",""1OD8"",""1V0K"",""1V0L"",""1V0M"",""1V0N"",""1XAS""]",,,Streptomyces lividans,1916,
"Endo-1,4-beta-xylanase A",,C6CRV0,"[""3RDK"",""3RO8"",""4E4P""]",,,Paenibacillus sp. (strain JDR-2),324057,
"Endo-1,4-beta-xylanase A",,Q60037,"[""1I82"",""1I8A"",""1I8U""]",,,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),243274,
"Endo-1,4-beta-xylanase A",,Q60042,,,,Thermotoga neapolitana,2337,
"Endo-1,4-beta-xylanase A",,P36917,,,,Thermoanaerobacterium saccharolyticum,28896,
"Endo-1,4-beta-xylanase C",,O69230,"[""4W8L"",""4XUN"",""4XUO"",""4XUP"",""4XUQ"",""4XUR"",""4XUT""]",,,Paenibacillus barcinonensis,198119,
"Endo-1,4-beta-xylanase Z",,P10478,"[""1JJF"",""1JT2"",""1XYZ""]",,,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),203119,
Endo-alpha-N-acetylgalactosaminidase,,Q8DR60,"[""3ECQ""]",,,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),171101,
Endo-alpha-N-acetylgalactosaminidase,,Q2MGH6,"[""5A55"",""5A56"",""5A57"",""5A58"",""5A59"",""5A5A""]",,,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),170187,
Endoglucanase 1,,Q5NAT8,,,,Oryza sativa subsp. japonica,39947,
Endoglucanase 13,,A2XYW8,,,,Oryza sativa subsp. indica,39946,
Endoglucanase 13,,Q0J930,,,,Oryza sativa subsp. japonica,39947,
Endoglucanase 15,,Q6L4I2,,,,Oryza sativa subsp. japonica,39947,
Endoglucanase 19,,Q8L7I0,,,,Arabidopsis thaliana,3702,
Endoglucanase 2,,Q5NAT0,,,,Oryza sativa subsp. japonica,39947,
Endoglucanase 5,,Q9M995,,,,Arabidopsis thaliana,3702,
Endoglucanase 5A,,O85465,"[""1A3H"",""1E5J"",""1H11"",""1H2J"",""1H5V"",""1HF6"",""1OCQ"",""1QHZ"",""1QI0"",""1QI2"",""1W3K"",""1W3L"",""2A3H"",""2V38"",""3A3H"",""4A3H"",""5A3H"",""6A3H"",""7A3H"",""8A3H""]",,,Salipaludibacillus agaradhaerens,76935,
Endoglucanase 6,,Q42059,,,,Arabidopsis thaliana,3702,
Endoglucanase A,,P06566,,,,Evansella cellulosilytica (strain ATCC 21833 / DSM 2522 / FERM P-1141 / JCM 9156 / N-4),649639,
Endoglucanase B,,P06565,,,,Evansella cellulosilytica (strain ATCC 21833 / DSM 2522 / FERM P-1141 / JCM 9156 / N-4),649639,
Endoglucanase Z,,P07103,"[""1AIW"",""1EGZ""]",,,Dickeya dadantii (strain 3937),198628,
Endomucin,,Q6AY82,,,,Rattus norvegicus,10116,
Endomucin,,Q9R0H2,,,,Mus musculus,10090,
Endosialin,,Q91V98,,,,Mus musculus,10090,
Endosialin,,Q9HCU0,,,,Homo sapiens,9606,
Enterotoxin type B,,P01552,"[""1D5M"",""1D5X"",""1D5Z"",""1D6E"",""1GOZ"",""1SBB"",""1SE3"",""1SE4"",""1SEB"",""2SEB"",""3GP7"",""3R8B"",""3SEB"",""3W2D"",""4C56"",""4RGM"",""4RGN"",""4RGO""]",,,Staphylococcus aureus,1280,
Eosinophil granule major basic protein 1,,P22032,,,,Cavia porcellus,10141,
Eosinophil granule major basic protein 2,,P35709,,,,Cavia porcellus,10141,
Epa1p,,Q6VBJ0,"[""4A3X"",""4AF9"",""4AFA"",""4AFB"",""4AFC""]",,,Candida glabrata,5478,"[""2353"",""2354"",""5353"",""5365""]"
Epidermis-specific secreted glycoprotein EP1,,Q39688,,,,Daucus carota,4039,
Epididymis-specific alpha-mannosidase,,Q28949,,,,Sus scrofa,9823,
Epididymis-specific alpha-mannosidase,,O54782,,,,Mus musculus,10090,
Epididymis-specific alpha-mannosidase,,Q5RDJ3,,,,Pongo abelii,9601,
Epididymis-specific alpha-mannosidase,,Q9Y2E5,,,,Homo sapiens,9606,
Epimerase FSL3,,A0A0E0RXA9,,,,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1),229533,
Erythritol catabolism regulatory protein EryD,,Q2YIQ4,,,,Brucella abortus (strain 2308),359391,
